gene	go_term	go_slim_term	cellular_component
B0001.4	GO:0005737	GO:0005737	cytoplasm
B0024.11	GO:0005634	GO:0005634	nucleus
B0024.15	GO:0005794	GO:0005794	Golgi apparatus
B0024.15	GO:0000139;GO:0016020	GO:0016020	membrane
B0035.15	GO:0005739	GO:0005739	mitochondrion
B0205.4	GO:0005794	GO:0005794	Golgi apparatus
B0205.4	GO:0016020;GO:0032580	GO:0016020	membrane
B0228.7	GO:0005634	GO:0005634	nucleus
B0228.7	GO:0005737	GO:0005737	cytoplasm
B0228.7	GO:0005829	GO:0005829	cytosol
B0250.5	GO:0005739	GO:0005739	mitochondrion
B0252.3	GO:0016020	GO:0016020	membrane
B0272.3	GO:0005739	GO:0005739	mitochondrion
B0272.3	GO:0005759		
B0281.5			
B0281.6			
B0285.6	GO:0005886	GO:0005886	plasma membrane
B0285.6	GO:0016020	GO:0016020	membrane
B0395.3	GO:0005777	GO:0005777	peroxisome
B0495.5	GO:0005575		
B0495.7	GO:0005783	GO:0005783	endoplasmic reticulum
B0495.7	GO:0005789;GO:0016020	GO:0016020	membrane
C01A2.4	GO:0005771	GO:0005768	endosome
C01A2.4	GO:0000815	GO:0032991	protein-containing complex
C01B4.6			
C01G5.5	GO:0005829	GO:0005829	cytosol
C01H6.4	GO:0005829	GO:0005829	cytosol
C02B8.6	GO:0005634	GO:0005634	nucleus
C02B8.6	GO:0005737	GO:0005737	cytoplasm
C02D5.4	GO:0005737	GO:0005737	cytoplasm
C02F5.13	GO:0016020	GO:0016020	membrane
C02G6.2	GO:0005737	GO:0005737	cytoplasm
C02G6.2	GO:0005739	GO:0005739	mitochondrion
C02G6.2	GO:0005829	GO:0005829	cytosol
C03H5.4	GO:0005576	GO:0005576	extracellular region
C04E6.5			
C04F12.8	GO:0005863		
C05C10.3	GO:0005739	GO:0005739	mitochondrion
C05C8.7	GO:0005829	GO:0005829	cytosol
C05C9.1	GO:0005615		
C05D11.1			
C06C3.3	GO:0005815	GO:0005815	microtubule organizing center
C06C3.3	GO:0005874		
C06E8.5	GO:0005615		
C06G1.1	GO:0005615		
C07D8.6	GO:0005829	GO:0005829	cytosol
C08A9.3	GO:0005764	GO:0005764	lysosome
C08A9.3	GO:0005886	GO:0005886	plasma membrane
C08A9.3	GO:0016020	GO:0016020	membrane
C09B8.4	GO:0005640	GO:0016020	membrane
C09B9.85	GO:0005886	GO:0005886	plasma membrane
C09B9.85	GO:0016020	GO:0016020	membrane
C09B9.85	GO:0034707	GO:0032991	protein-containing complex
C09D4.1	GO:0016020	GO:0016020	membrane
C11D2.7	GO:0005737	GO:0005737	cytoplasm
C11H1.7			
C13B9.2	GO:0005737	GO:0005737	cytoplasm
C14C10.1	GO:0005739	GO:0005739	mitochondrion
C14C10.1	GO:0005743;GO:0016020	GO:0016020	membrane
C15C8.4	GO:0005783	GO:0005783	endoplasmic reticulum
C15C8.4	GO:0012505		
C15H9.4	GO:0016020	GO:0016020	membrane
C15H9.4	GO:0012505		
C16A3.5	GO:0005739	GO:0005739	mitochondrion
C16A3.5	GO:0005743;GO:0016020	GO:0016020	membrane
C16A3.5	GO:0045271	GO:0032991	protein-containing complex
C16C10.1	GO:0005739	GO:0005739	mitochondrion
C16C10.1	GO:0005743;GO:0016020	GO:0016020	membrane
C16D9.6	GO:0016020	GO:0016020	membrane
C17H12.3			
C18B12.4	GO:0005737	GO:0005737	cytoplasm
C18B12.4	GO:0016020	GO:0016020	membrane
C18B2.4	GO:0005634	GO:0005634	nucleus
C18E9.7			
C18H7.4	GO:0005886	GO:0005886	plasma membrane
C24A3.1			
C24A3.4	GO:0005739	GO:0005739	mitochondrion
C25A8.5	GO:0005886	GO:0005886	plasma membrane
C25E10.4	GO:0005765;GO:0016020	GO:0016020	membrane
C25E10.5	GO:0005765;GO:0016020	GO:0016020	membrane
C25G4.2	GO:0005634	GO:0005634	nucleus
C25G4.2	GO:0005737	GO:0005737	cytoplasm
C26B9.6	GO:0005634	GO:0005634	nucleus
C26B9.6	GO:0005737	GO:0005737	cytoplasm
C26D10.3			
C27A7.3	GO:0016020	GO:0016020	membrane
C27B7.7	GO:0005576	GO:0005576	extracellular region
C27C7.5			
C27F2.4	GO:0005634	GO:0005634	nucleus
C27F2.4	GO:0005730	GO:0005730	nucleolus
C27F2.4	GO:0005737	GO:0005737	cytoplasm
C27H6.8	GO:0005634	GO:0005634	nucleus
C27H6.8	GO:0005737	GO:0005737	cytoplasm
C27H6.9	GO:0005739	GO:0005739	mitochondrion
C28F5.4			
C28G1.6			
C29A12.6			
C29E4.10	GO:0005764	GO:0005764	lysosome
C29E4.10	GO:0016020	GO:0016020	membrane
C29F5.8			
C29F7.3	GO:0005634	GO:0005634	nucleus
C29F7.3	GO:0005737	GO:0005737	cytoplasm
C30G12.2	GO:0005737	GO:0005737	cytoplasm
C31H5.6			
C32B5.7	GO:0005764	GO:0005764	lysosome
C32B5.7	GO:0016020	GO:0016020	membrane
C32B5.7	GO:0005615		
C32D5.11	GO:0005777	GO:0005777	peroxisome
C32D5.11	GO:0016020	GO:0016020	membrane
C32D5.11	GO:0005778	GO:0043226	organelle
C32D5.12			
C32F10.8			
C33A11.2	GO:0016020	GO:0016020	membrane
C33A11.2	GO:0012505		
C33F10.12	GO:0005739	GO:0005739	mitochondrion
C33F10.12	GO:0005743;GO:0016020	GO:0016020	membrane
C33G3.4	GO:0005764	GO:0005764	lysosome
C33H5.16			
C34C12.8	GO:0005739	GO:0005739	mitochondrion
C34C12.8	GO:0001405	GO:0032991	protein-containing complex
C34C12.8	GO:0005759		
C34E10.10	GO:0005634	GO:0005634	nucleus
C34E10.10	GO:0005730	GO:0005730	nucleolus
C34E10.10	GO:0032040	GO:0032991	protein-containing complex
C34F11.5	GO:0005886	GO:0005886	plasma membrane
C34F11.5	GO:0005925	GO:0030054	cell junction
C35A11.4	GO:0016020	GO:0016020	membrane
C35D6.4	GO:0005829	GO:0005829	cytosol
C35D6.4	GO:0043186	GO:0043226	organelle
C35E7.10	GO:0005886	GO:0005886	plasma membrane
C36B1.14	GO:0005737	GO:0005737	cytoplasm
C36B1.14	GO:0005681	GO:0032991	protein-containing complex
C36B1.14	GO:0030425	GO:0043005	neuron projection
C36B7.2	GO:0005634	GO:0005634	nucleus
C36B7.2	GO:0005737	GO:0005737	cytoplasm
C36B7.2	GO:0005856	GO:0005856	cytoskeleton
C36E8.4	GO:0043226	GO:0043226	organelle
C38H2.2	GO:0016020	GO:0016020	membrane
C39B5.6	GO:0005739	GO:0005739	mitochondrion
C39B5.6	GO:0030956	GO:0032991	protein-containing complex
C40A11.2			
C40A11.3			
C40A11.4			
C40A11.6			
C40A11.7			
C41D11.9	GO:0016020	GO:0016020	membrane
C42C1.19	GO:0005789;GO:0016020	GO:0016020	membrane
