gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
B0019.2	WBGene00007094	1	eGFP	FLAG;TY1	RW12288
B0261.7	WBGene00015095	1	GFPNovo2	AID;FLAG;TEV	
C05C10.5	WBGene00007332	1	GFP	AID;FLAG	
C05C9.3	WBGene00007327	1		HiBit	
C10G11.8	WBGene00015688	1	GFPNovo2	AID;FLAG;TEV	
C16C10.8	WBGene00007628	1	GFPNovo2	AID;FLAG;TEV	
C16E9.1	WBGene00015865	2	mNG		NK2668
C23H3.5	WBGene00016021	1	GFPNovo2	AID;FLAG;TEV	
C27D6.11	WBGene00044388	1	GFPNovo2	AID;FLAG;TEV	
C28H8.3	WBGene00016194	1	GFPNovo2	AID;FLAG;TEV	
C32E12.1	WBGene00016327	1	GFPNovo2	AID;FLAG;TEV	
C33G3.6	WBGene00007906	1	mCherry	HA	
C42D4.3	WBGene00016596	2		MS2	SHX3908
C45G7.4	WBGene00016671	1	mScarlet3		
C48E7.6	WBGene00016751	2	mNG		NK2702
D2005.4	WBGene00008399	3	GFP	FLAG;HA	SHG2875
D2030.7	WBGene00008417	1	eGFP	FLAG;TY1	RW12302
F01D4.5	WBGene00008488	1	mKate2		
F17C11.12	WBGene00008923	1	GFPNovo2	AID;FLAG;TEV	
F19F10.1	WBGene00017598	2	eGFP;mNG	FLAG;TY1	RW12347
F26E4.3	WBGene00009158	3	GFPNovo2;mNG	AID;FLAG;TEV	NK2669
F26E4.5	WBGene00009160	1	GFPNovo2	AID;FLAG;TEV	
F26E4.7	WBGene00009162	2	mNG		NK2667
F27C1.2	WBGene00017852	1	mScarlet		
F37A4.5	WBGene00018135	1	GFPNovo2	AID;FLAG;TEV	
F37C4.5	WBGene00018145	1	mCherry	HA	
F37H8.5	WBGene00009514	2	GFPNovo2;mNG	AID;FLAG;TEV	
F52F12.8	WBGene00009941	1	GFP	AID;FLAG	
F53F10.8	WBGene00044423	1	mNG		
F54E12.2	WBGene00010061	1	GFPNovo2	AID;FLAG;TEV	
F55A12.5	WBGene00018864	1	mCherry	HA	
H05L14.2	WBGene00010367	1	GFP		
K05C4.7	WBGene00010583	1	GFPNovo2	AID;FLAG;TEV	
K10D3.4	WBGene00010738	2	mNG;mScarlet	FLAG;OLLAS	JDW758;JDW778
K11D2.4	WBGene00010770	1	eGFP	FLAG;TY1	RW12320
R06C1.4	WBGene00011059	1		HiBit	
R144.6	WBGene00020096	1	mNG		
R74.8	WBGene00011282	1	GFPNovo2	AID;FLAG;TEV	
T07D3.9	WBGene00020311	1	GFPNovo2	AID;FLAG;TEV	
T19B10.2	WBGene00011831	1	mNG	FLAG	
T19D12.6	WBGene00020581	2	mNG		NK2751
T26A5.2	WBGene00020819	1		HA	
T28D6.6	WBGene00012126	1	mNG	FLAG	GLW33
W02B12.12	WBGene00012207	1	GFPNovo2	AID;FLAG;TEV	
W05F2.6	WBGene00021038	1		HA	
W08E12.7	WBGene00021088	1	mNG		GLW6
Y110A7A.15	WBGene00022462	1	GFPNovo2	AID;FLAG;TEV	
Y47D3A.21	WBGene00012932	2	GFP	AID;FLAG	PHX6129
Y47G6A.7	WBGene00021637	1	eGFP	FLAG;TY1	RW12268
Y48G1C.6	WBGene00021679	1	mNG		
Y48G9A.11	WBGene00021704	1	eGFP	FLAG;TY1	RW12291
Y51H7C.13	WBGene00021791	1	mNG		
